Iy;PF;e;dIf;If;sqrt_sum;squared_sum
3,1;0,88;0,12;0,2;1,38;2,3832750575625967;32,2624
3,1;0,9;0,1;0,22;1,4;2,3916521486202793;32,71839999999999
3,1;0,92;0,08;0,12;1,3;2,349468024894146;30,470400000000005
3,1;0,94;0,06;0,12;1,3;2,349468024894146;30,470399999999994
3,1;0,96;0,04;0,14;1,32;2,3579652245103193;30,913600000000006
3,1;0,98;0,02;0,14;1,32;2,3579652245103193;30,913599999999995
3,1;1,0;0,0;0,14;1,32;2,3579652245103193;30,913599999999995
3,2;0,66;0,34;0,39;1,57;2,4819347291981715;37,9456
3,2;0,68;0,32;0,41;1,59;2,4899799195977463;38,440000000000005
3,2;0,7;0,3;0,44;1,62;2,5019992006393608;39,18760000000001
3,2;0,72;0,28;0,36;1,54;2,4698178070456938;37,21000000000001
3,2;0,74;0,26;0,38;1,56;2,4779023386727737;37,699600000000004
3,2;0,76;0,24;0,31;1,49;2,449489742783178;36,0
3,2;0,78;0,22;0,32;1,5;2,4535688292770597;36,24040000000001
3,2;0,8;0,2;0,34;1,52;2,4617067250182343;36,723600000000005
3,2;0,82;0,18;0,26;1,44;2,4289915602982237;34,81
3,2;0,84;0,16;0,27;1,45;2,433105012119288;35,04640000000001
3,2;0,86;0,14;0,18;1,36;2,3958297101421877;32,9476
3,2;0,88;0,12;0,19;1,37;2,4000000000000004;33,177600000000005
3,2;0,9;0,1;0,2;1,38;2,4041630560342617;33,4084
3,2;0,92;0,08;0,1;1,28;2,3622023622035435;31,136400000000002
3,2;0,94;0,06;0,11;1,29;2,3664319132398464;31,360000000000007
3,2;0,96;0,04;0,12;1,3;2,3706539182259396;31,584400000000002
3,2;0,98;0,02;0,12;1,3;2,3706539182259396;31,58439999999999
3,2;1,0;0,0;0,12;1,3;2,3706539182259396;31,584400000000002
3,3;0,66;0,34;0,39;1,57;2,5019992006393608;39,187599999999996
3,3;0,68;0,32;0,41;1,58;2,5079872407968904;39,5641
3,3;0,7;0,3;0,43;1,61;2,5179356624028344;40,1956
3,3;0,72;0,28;0,35;1,53;2,4859605789312105;38,1924
3,3;0,74;0,26;0,37;1,55;2,493992782667985;38,688399999999994
3,3;0,76;0,24;0,3;1,48;2,4657656011875906;36,9664
3,3;0,78;0,22;0,31;1,49;2,4698178070456938;37,209999999999994
3,3;0,8;0,2;0,33;1,51;2,477902338672773;37,6996
3,3;0,82;0,18;0,25;1,43;2,445403852127497;35,7604
3,3;0,84;0,16;0,26;1,44;2,449489742783178;36,0
3,3;0,86;0,14;0,17;1,35;2,4124676163629637;33,872400000000006
3,3;0,88;0,12;0,18;1,36;2,4166091947189146;34,105599999999995
3,3;0,9;0,1;0,19;1,37;2,420743687382041;34,339600000000004
3,3;0,92;0,08;0,09;1,27;2,3790754506740637;32,0356
3,3;0,94;0,06;0,1;1,27;2,3811761799581315;32,1489
3,3;0,96;0,04;0,1;1,28;2,3832750575625967;32,2624
3,3;0,98;0,02;0,1;1,28;2,3832750575625967;32,262399999999985
3,3;1,0;0,0;0,1;1,28;2,3832750575625967;32,2624
3,4;0,66;0,34;0,39;1,56;2,5199206336708304;40,3225
3,4;0,68;0,32;0,4;1,58;2,5258661880630178;40,70440000000001
3,4;0,7;0,3;0,42;1,6;2,5337718918639855;41,2164
3,4;0,72;0,28;0,34;1,52;2,5019992006393608;39,187599999999996
3,4;0,74;0,26;0,36;1,54;2,5099800796022267;39,69
3,4;0,76;0,24;0,3;1,48;2,4859605789312105;38,1924
3,4;0,78;0,22;0,31;1,49;2,4899799195977463;38,43999999999999
3,4;0,8;0,2;0,32;1,5;2,4939927826679855;38,68840000000001
3,4;0,82;0,18;0,24;1,42;2,4617067250182343;36,7236
3,4;0,84;0,16;0,24;1,43;2,463736998950984;36,8449
3,4;0,86;0,14;0,16;1,34;2,4289915602982237;34,809999999999995
3,4;0,88;0,12;0,17;1,35;2,4331050121192876;35,0464
3,4;0,9;0,1;0,17;1,35;2,4331050121192876;35,0464
3,4;0,92;0,08;0,07;1,25;2,3916521486202797;32,71840000000001
3,4;0,94;0,06;0,08;1,26;2,3958297101421877;32,947599999999994
3,4;0,96;0,04;0,08;1,26;2,3958297101421877;32,947599999999994
3,4;0,98;0,02;0,08;1,26;2,3958297101421877;32,947599999999994
3,4;1,0;0,0;0,08;1,26;2,3958297101421877;32,9476
3,5;0,66;0,34;0,37;1,55;2,5337718918639855;41,2164
3,5;0,68;0,32;0,4;1,57;2,543619468395381;41,86090000000001
3,5;0,7;0,3;0,42;1,6;2,553429066960741;42,5104
3,5;0,72;0,28;0,33;1,51;2,5179356624028344;40,1956
3,5;0,74;0,26;0,35;1,53;2,5258661880630178;40,7044
3,5;0,76;0,24;0,28;1,47;2,5;39,0625
3,5;0,78;0,22;0,3;1,48;2,5059928172283334;39,438399999999994
3,5;0,8;0,2;0,31;1,49;2,5099800796022267;39,69
3,5;0,82;0,18;0,22;1,4;2,473863375370596;37,45439999999999
3,5;0,84;0,16;0,23;1,41;2,4779023386727737;37,699600000000004
3,5;0,86;0,14;0,14;1,32;2,4413111231467406;35,5216
3,5;0,88;0,12;0,15;1,33;2,445403852127497;35,760400000000004
3,5;0,9;0,1;0,16;1,34;2,449489742783178;36,0
3,5;0,92;0,08;0,04;1,23;2,4020824298928627;33,292899999999996
3,5;0,94;0,06;0,05;1,23;2,4041630560342613;33,40839999999999
3,5;0,96;0,04;0,06;1,24;2,4083189157584592;33,64
3,5;0,98;0,02;0,06;1,24;2,4083189157584592;33,64
3,5;1,0;0,0;0,06;1,24;2,4083189157584592;33,64
3,6;0,66;0,34;0,46;1,64;2,588435821108957;44,88999999999999
3,6;0,68;0,32;0,48;1,66;2,596150997149434;45,427600000000005
3,8;0,92;0,08;0,11;1,29;2,4899799195977463;38,440000000000005
3,8;0,94;0,06;0,12;1,3;2,493992782667985;38,688399999999994
3,8;0,96;0,04;0,12;1,3;2,493992782667985;38,688399999999994
3,8;0,98;0,02;0,12;1,3;2,493992782667985;38,68839999999999
3,8;1,0;0,0;0,12;1,3;2,493992782667985;38,688399999999994
3,7;0,92;0,08;0,12;1,3;2,4738633753705965;37,4544
3,7;0,94;0,06;0,13;1,31;2,4779023386727737;37,699600000000004
3,6;0,92;0,08;0,14;1,32;2,4617067250182343;36,723600000000005
3,7;0,96;0,04;0,14;1,32;2,4819347291981715;37,9456
3,7;0,98;0,02;0,14;1,32;2,481934729198171;37,94559999999999
3,7;1,0;0,0;0,14;1,32;2,4819347291981715;37,9456
3,6;0,94;0,06;0,15;1,33;2,4657656011875906;36,9664
3,6;0,96;0,04;0,16;1,34;2,4698178070456938;37,21000000000001
3,6;0,98;0,02;0,16;1,34;2,4698178070456938;37,209999999999994
3,6;1,0;0,0;0,16;1,34;2,4698178070456938;37,209999999999994
3,8;0,86;0,14;0,2;1,38;2,5258661880630178;40,7044
3,7;0,86;0,14;0,21;1,39;2,5099800796022267;39,69
3,8;0,88;0,12;0,21;1,39;2,5298221281347035;40,959999999999994
3,6;0,86;0,14;0,22;1,4;2,493992782667985;38,68839999999999
3,7;0,88;0,12;0,22;1,4;2,513961017995307;39,942400000000006
3,8;0,9;0,1;0,22;1,4;2,5337718918639855;41,2164
3,6;0,88;0,12;0,23;1,42;2,5;39,062500000000014
3,7;0,9;0,1;0,24;1,42;2,5219040425836985;40,449600000000004
3,6;0,9;0,1;0,26;1,44;2,5099800796022262;39,68999999999998
3,8;0,82;0,18;0,29;1,47;2,5612496949731396;43,03359999999999
3,7;0,82;0,18;0,29;1,48;2,543619468395381;41,86090000000001
3,8;0,84;0,16;0,3;1,48;2,565151067676132;43,2964
3,6;0,82;0,18;0,31;1,49;2,5298221281347035;40,959999999999994
3,7;0,84;0,16;0,31;1,49;2,5495097567963922;42,25
3,6;0,84;0,16;0,32;1,5;2,5337718918639855;41,21640000000001
3,8;0,76;0,24;0,34;1,52;2,5806975801127883;44,3556
3,7;0,76;0,24;0,35;1,53;2,565151067676132;43,2964
3,6;0,76;0,24;0,36;1,54;2,5495097567963927;42,250000000000014
3,8;0,78;0,22;0,36;1,54;2,588435821108957;44,89
3,7;0,78;0,22;0,37;1,55;2,5729360660537215;43,824400000000004
3,6;0,78;0,22;0,38;1,56;2,5573423705088842;42,77159999999999
3,8;0,8;0,2;0,38;1,56;2,596150997149434;45,427600000000005
3,7;0,8;0,2;0,4;1,57;2,582634314028992;44,48890000000001
3,6;0,8;0,2;0,41;1,59;2,569046515733026;43,56000000000001
3,8;0,72;0,28;0,41;1,59;2,6076809620810595;46,239999999999995
3,7;0,72;0,28;0,42;1,6;2,5922962793631443;45,15840000000001
3,6;0,72;0,28;0,43;1,61;2,5768197453450252;44,089600000000004
3,8;0,74;0,26;0,43;1,61;2,615339366124404;46,785599999999995
3,7;0,74;0,26;0,44;1,62;2,6;45,69760000000001
3,9;0,66;0,34;0,44;1,62;2,6381811916545836;48,4416
3,6;0,74;0,26;0,45;1,62;2,582634314028992;44,4889
3,8;0,66;0,34;0,45;1,63;2,6229754097208002;47,334399999999995
3,7;0,66;0,34;0,45;1,63;2,6038433132583076;45,9684
3,9;0,68;0,32;0,46;1,64;2,6457513110645907;49,0
3,8;0,68;0,32;0,47;1,65;2,630589287593181;47,8864
3,7;0,68;0,32;0,47;1,65;2,6115129714401193;46,51240000000001
3,9;0,7;0,3;0,49;1,67;2,6570660511172846;49,843599999999995
3,8;0,7;0,3;0,49;1,67;2,6381811916545836;48,4416
3,7;0,7;0,3;0,5;1,68;2,6229754097208002;47,334399999999995
3,6;0,7;0,3;0,51;1,69;2,6076809620810595;46,23999999999999
3,9;0,72;0,28;0,4;1,58;2,6229754097208002;47,33440000000001
3,9;0,74;0,26;0,42;1,6;2,630589287593181;47,8864
3,9;0,76;0,24;0,34;1,52;2,6;45,697599999999994
3,9;0,78;0,22;0,35;1,53;2,603843313258307;45,96839999999999
3,9;0,8;0,2;0,37;1,55;2,6115129714401193;46,51240000000001
3,9;0,82;0,18;0,27;1,45;2,5729360660537215;43,824400000000004
3,9;0,84;0,16;0,29;1,47;2,5806975801127883;44,3556
4,0;0,92;0,08;0,06;1,24;2,5099800796022267;39,69
4,0;0,94;0,06;0,07;1,25;2,5139610179953067;39,94239999999999
4,0;0,96;0,04;0,08;1,26;2,5179356624028344;40,1956
4,0;0,98;0,02;0,08;1,26;2,5179356624028344;40,1956
4,0;1,0;0,0;0,08;1,26;2,5179356624028344;40,1956
3,9;0,92;0,08;0,1;1,27;2,5039968051097827;39,31289999999999
3,9;0,96;0,04;0,1;1,28;2,5059928172283334;39,438399999999994
3,9;0,98;0,02;0,1;1,28;2,5059928172283334;39,438399999999994
3,9;1,0;0,0;0,1;1,28;2,5059928172283334;39,4384
3,9;0,94;0,06;0,1;1,28;2,5059928172283334;39,438399999999994
4,1;0,92;0,08;0,16;1,34;2,569046515733026;43,559999999999995
4,0;0,86;0,14;0,17;1,34;2,5514701644346145;42,3801
4,1;0,94;0,06;0,17;1,35;2,5729360660537215;43,82439999999999
4,0;0,88;0,12;0,17;1,35;2,553429066960741;42,5104
4,0;0,9;0,1;0,18;1,36;2,5573423705088842;42,7716
4,1;0,96;0,04;0,18;1,36;2,5768197453450252;44,0896
4,1;0,98;0,02;0,18;1,36;2,5768197453450252;44,0896
4,1;1,0;0,0;0,18;1,36;2,5768197453450252;44,0896
3,9;0,86;0,14;0,19;1,37;2,541653005427767;41,7316
3,9;0,88;0,12;0,2;1,38;2,545584412271571;41,99040000000001
3,9;0,9;0,1;0,2;1,38;2,545584412271571;41,990399999999994
4,0;0,82;0,18;0,25;1,43;2,584569596664017;44,6224
4,1;0,86;0,14;0,26;1,44;2,6076809620810595;46,23999999999999
4,0;0,84;0,16;0,27;1,45;2,592296279363144;45,15839999999999
4,1;0,88;0,12;0,28;1,46;2,615339366124404;46,785599999999995
4,1;0,9;0,1;0,31;1,49;2,6267851073127395;47,60999999999999
4,0;0,76;0,24;0,32;1,5;2,6115129714401193;46,51240000000001
4,0;0,78;0,22;0,34;1,52;2,619160170741759;47,05959999999999
4,0;0,8;0,2;0,36;1,54;2,6267851073127395;47,61000000000001
4,1;0,82;0,18;0,36;1,54;2,6457513110645907;49,0
4,1;0,84;0,16;0,38;1,56;2,6532998322843198;49,56159999999999
4,0;0,72;0,28;0,38;1,56;2,634387974463898;48,163599999999995
4,0;0,74;0,26;0,41;1,59;2,6457513110645907;49,0
4,1;0,76;0,24;0,42;1,6;2,6683328128252666;50,69439999999999
4,0;0,66;0,34;0,43;1,61;2,6532998322843198;49,5616
4,1;0,78;0,22;0,44;1,62;2,6758176320519302;51,2656
4,0;0,68;0,32;0,46;1,64;2,6645825188948455;50,41
4,1;0,8;0,2;0,47;1,65;2,68700576850888;52,128399999999985
4,0;0,7;0,3;0,48;1,66;2,6720778431774774;50,979600000000005
4,1;0,72;0,28;0,49;1,67;2,694438717061496;52,7076
4,1;0,74;0,26;0,51;1,69;2,701851217221259;53,289999999999985
4,2;0,66;0,34;0,52;1,7;2,723967694375247;55,05640000000001
4,1;0,66;0,34;0,52;1,7;2,7055498516937364;53,58239999999999
4,2;0,68;0,32;0,53;1,71;2,727636339397171;55,35360000000001
4,1;0,68;0,32;0,54;1,72;2,7129319932501073;54,16959999999999
4,1;0,7;0,3;0,57;1,75;2,723967694375247;55,0564
4,3;0,92;0,08;0,13;1,31;2,596150997149434;45,427600000000005
4,3;0,94;0,06;0,14;1,32;2,6;45,697599999999994
4,3;0,96;0,04;0,14;1,32;2,6;45,697599999999994
4,3;0,98;0,02;0,14;1,32;2,5999999999999996;45,69759999999999
4,3;1,0;0,0;0,14;1,32;2,6;45,697599999999994
4,2;0,92;0,08;0,14;1,32;2,5806975801127883;44,3556
4,2;0,94;0,06;0,15;1,33;2,5845695966640174;44,622400000000006
4,2;0,96;0,04;0,16;1,34;2,588435821108957;44,89
4,2;0,98;0,02;0,16;1,34;2,588435821108957;44,88999999999999
4,2;1,0;0,0;0,16;1,34;2,588435821108957;44,89
4,3;0,86;0,14;0,23;1,42;2,6362852652928135;48,3025
4,3;0,88;0,12;0,25;1,43;2,6419689627245813;48,72039999999999
4,2;0,86;0,14;0,25;1,43;2,6229754097208002;47,334399999999995
4,3;0,9;0,1;0,26;1,44;2,6457513110645907;49,0
4,2;0,88;0,12;0,26;1,44;2,6267851073127395;47,61000000000001
4,2;0,9;0,1;0,28;1,46;2,6343879744638983;48,1636
4,3;0,82;0,18;0,34;1,52;2,6758176320519302;51,2656
4,2;0,82;0,18;0,35;1,53;2,6608269391300143;50,126400000000004
4,3;0,84;0,16;0,35;1,53;2,6795522013948525;51,5524
4,2;0,84;0,16;0,37;1,55;2,6683328128252666;50,6944
4,3;0,76;0,24;0,4;1,58;2,6981475126464085;52,998400000000004
4,2;0,76;0,24;0,41;1,59;2,6832815729997477;51,84
4,3;0,78;0,22;0,42;1,6;2,705549851693737;53,58240000000001
4,2;0,78;0,22;0,42;1,6;2,6870057685088806;52,128400000000006
4,3;0,8;0,2;0,44;1,62;2,7129319932501073;54,1696
4,2;0,8;0,2;0,46;1,64;2,701851217221259;53,29
4,3;0,72;0,28;0,47;1,65;2,723967694375247;55,0564
4,2;0,72;0,28;0,48;1,66;2,7092434368288134;53,8756
4,3;0,74;0,26;0,49;1,67;2,7313000567495327;55,6516
4,2;0,74;0,26;0,5;1,68;2,716615541441225;54,4644
4,3;0,66;0,34;0,51;1,69;2,7386127875258306;56,25
4,3;0,68;0,32;0,53;1,71;2,745906043549196;56,8516
4,3;0,7;0,3;0,56;1,74;2,756809750418044;57,76
4,2;0,7;0,3;0,56;1,75;2,7404379212089442;56,400099999999995
4,4;0,66;0,34;0,51;1,69;2,756809750418044;57,76
4,4;0,68;0,32;0,53;1,71;2,764054992217051;58,369600000000005
4,4;0,7;0,3;0,55;1,73;2,7712812921102037;58,9824
4,4;0,72;0,28;0,46;1,64;2,7386127875258306;56,25
4,4;0,74;0,26;0,48;1,66;2,7459060435491964;56,85160000000001
4,4;0,76;0,24;0,39;1,57;2,7129319932501073;54,1696
4,4;0,78;0,22;0,41;1,59;2,7202941017470885;54,760000000000005
4,4;0,8;0,2;0,43;1,61;2,727636339397171;55,35360000000001
4,4;0,82;0,18;0,33;1,51;2,6907248094147422;52,4176
4,4;0,84;0,16;0,34;1,52;2,694438717061496;52,7076
4,4;0,86;0,14;0,22;1,4;2,649528259898354;49,28039999999999
4,4;0,88;0,12;0,23;1,41;2,65329983228432;49,56160000000001
4,4;0,9;0,1;0,23;1,41;2,65329983228432;49,56160000000001
4,4;0,92;0,08;0,12;1,3;2,6115129714401193;46,51240000000001
4,4;0,94;0,06;0,12;1,3;2,611512971440119;46,51239999999999
4,4;0,96;0,04;0,12;1,3;2,6115129714401193;46,51240000000001
4,4;0,98;0,02;0,12;1,3;2,6115129714401193;46,51240000000001
4,4;1,0;0,0;0,12;1,3;2,6115129714401193;46,51240000000001
4,5;0,66;0,34;0,49;1,67;2,7676705006196096;58,6756
4,5;0,68;0,32;0,52;1,7;2,778488797889961;59,5984
4,5;0,7;0,3;0,55;1,73;2,7892651361962706;60,52839999999999
4,5;0,72;0,28;0,44;1,62;2,749545416973504;57,153600000000004
4,5;0,74;0,26;0,47;1,65;2,760434748368452;58,064399999999985
4,5;0,76;0,24;0,37;1,55;2,723967694375247;55,0564
4,5;0,78;0,22;0,4;1,57;2,7331300737432898;55,80090000000001
4,5;0,8;0,2;0,42;1,6;2,7422618401604177;56,550399999999996
4,5;0,82;0,18;0,3;1,48;2,698147512646408;52,99839999999999
4,5;0,84;0,16;0,32;1,5;2,705549851693737;53,58240000000001
4,5;0,86;0,14;0,19;1,37;2,6570660511172846;49,84360000000001
4,5;0,88;0,12;0,2;1,38;2,6608269391300143;50,126400000000004
4,5;0,9;0,1;0,21;1,39;2,6645825188948455;50,41
4,5;0,92;0,08;0,08;1,26;2,615339366124404;46,785599999999995
4,5;0,94;0,06;0,09;1,27;2,619160170741759;47,05959999999999
4,5;0,96;0,04;0,1;1,28;2,6229754097208002;47,334399999999995
4,5;0,98;0,02;0,1;1,28;2,6229754097208002;47,334399999999995
4,5;1,0;0,0;0,1;1,28;2,6229754097208002;47,334399999999995
4,6;0,66;0,34;0,59;1,77;2,8213471959331766;63,36159999999999
4,6;0,68;0,32;0,61;1,79;2,8284271247461903;64,0
4,6;0,7;0,3;0,64;1,82;2,8390139133156778;64,96359999999999
4,6;0,72;0,28;0,56;1,74;2,8106938645110393;62,410000000000004
4,6;0,74;0,26;0,58;1,76;2,817800560721074;63,04359999999999
4,6;0,76;0,24;0,47;1,66;2,7802877548915688;59,75289999999999
4,6;0,78;0,22;0,49;1,67;2,7856776554368237;60,2176
4,6;0,8;0,2;0,53;1,71;2,8;61,465599999999995
4,6;0,82;0,18;0,41;1,59;2,756809750418044;57,76
4,6;0,84;0,16;0,41;1,59;2,756809750418044;57,76
4,6;0,87;0,13;0,31;1,49;2,7202941017470885;54,75999999999999
4,6;0,89;0,11;0,32;1,5;2,723967694375247;55,0564
4,6;0,91;0,09;0,18;1,36;2,6720778431774774;50,9796
4,6;0,93;0,07;0,19;1,37;2,6758176320519302;51,2656
4,6;0,95;0,05;0,21;1,39;2,6832815729997477;51,83999999999999
4,6;0,97;0,03;0,21;1,39;2,6832815729997477;51,83999999999999
4,6;0,99;0,01;0,21;1,39;2,6832815729997477;51,83999999999999
4,7;0,65;0,35;0,61;1,79;2,8460498941515415;65,61000000000003
4,7;0,67;0,33;0,59;1,77;2,839013913315678;64,96360000000001
4,7;0,69;0,31;0,61;1,79;2,8460498941515415;65,61000000000003
4,7;0,71;0,29;0,54;1,72;2,821347195933177;63,3616
4,7;0,73;0,27;0,55;1,73;2,8248893783651066;63,68039999999998
4,7;0,75;0,25;0,59;1,77;2,839013913315678;64,96360000000001
4,7;0,77;0,23;0,47;1,65;2,7964262908219126;61,15240000000001
4,7;0,79;0,21;0,49;1,67;2,8035691537752374;61,7796
4,7;0,81;0,19;0,39;1,57;2,7676705006196096;58,6756
4,7;0,83;0,17;0,4;1,58;2,7712812921102037;58,98240000000001
4,7;0,85;0,15;0,41;1,59;2,7748873851023217;59,290000000000006
4,7;0,87;0,13;0,29;1,47;2,7313000567495327;55,6516
4,7;0,89;0,11;0,3;1,48;2,734958866235469;55,95040000000001
4,7;0,91;0,09;0,17;1,34;2,6851443164195103;51,9841
4,7;0,93;0,07;0,17;1,35;2,6870057685088806;52,128400000000006
4,7;0,95;0,05;0,18;1,36;2,6907248094147422;52,4176
4,7;0,97;0,03;0,18;1,36;2,6907248094147422;52,4176
4,7;0,99;0,01;0,18;1,36;2,6907248094147422;52,4176
4,8;0,65;0,35;0,62;1,8;2,86705423736629;67,56840000000001
4,8;0,67;0,33;0,59;1,77;2,85657137141714;66,5856
4,8;0,69;0,31;0,61;1,79;2,8635642126552705;67,24
4,8;0,71;0,29;0,53;1,71;2,835489375751565;64,64159999999998
4,8;0,73;0,27;0,55;1,73;2,842534080710379;65,28639999999997
4,8;0,75;0,25;0,57;1,75;2,8495613697550017;65,93440000000001
4,8;0,77;0,23;0,47;1,65;2,814249455894058;62,7264
4,8;0,79;0,21;0,48;1,66;2,817800560721074;63,04359999999999
4,8;0,81;0,19;0,38;1,56;2,7820855486487113;59,9076
4,8;0,83;0,17;0,39;1,57;2,7856776554368237;60,2176
4,8;0,85;0,15;0,4;1,57;2,787471972953271;60,37290000000001
4,8;0,87;0,13;0,27;1,45;2,7422618401604177;56,55040000000001
4,8;0,89;0,11;0,28;1,46;2,745906043549196;56,8516
4,8;0,91;0,09;0,15;1,33;2,6981475126464085;52,998400000000004
4,8;0,93;0,07;0,16;1,34;2,701851217221259;53,29
4,8;0,95;0,05;0,16;1,34;2,701851217221259;53,29
4,8;0,97;0,03;0,16;1,34;2,701851217221259;53,29
4,8;0,99;0,01;0,16;1,34;2,701851217221259;53,29
4,9;0,65;0,35;0,64;1,82;2,891366458960192;69,88959999999999
4,9;0,67;0,33;0,58;1,76;2,870540018881465;67,8976
4,9;0,69;0,31;0,6;1,78;2,8774989139876315;68,55839999999999
4,9;0,71;0,29;0,52;1,7;2,8495613697550013;65,93439999999998
4,9;0,73;0,27;0,54;1,72;2,85657137141714;66,5856
4,9;0,75;0,25;0,56;1,74;2,863564212655271;67,24000000000002
4,9;0,77;0,23;0,45;1,63;2,824889378365107;63,680400000000006
4,9;0,79;0,21;0,46;1,64;2,8284271247461903;64,0
4,9;0,81;0,19;0,36;1,54;2,7928480087537886;60,840000000000025
4,9;0,83;0,17;0,37;1,55;2,7964262908219126;61,15240000000001
4,9;0,85;0,15;0,38;1,56;2,8;61,465599999999995
4,9;0,87;0,13;0,25;1,43;2,753179979587241;57,4564
4,9;0,89;0,11;0,26;1,44;2,756809750418044;57,76
4,9;0,91;0,09;0,13;1,31;2,7092434368288134;53,8756
4,9;0,93;0,07;0,14;1,32;2,7129319932501073;54,1696
4,9;0,95;0,05;0,14;1,32;2,7129319932501073;54,1696
4,9;0,97;0,03;0,14;1,32;2,7129319932501073;54,1696
4,9;0,99;0,01;0,14;1,32;2,7129319932501073;54,1696
5,0;0,65;0,35;0,65;1,83;2,9120439557122073;71,91040000000001
5,0;0,67;0,33;0,57;1,75;2,8844410203711917;69,22240000000001
5,0;0,69;0,31;0,6;1,78;2,8948229652260253;70,22439999999999
5,0;0,71;0,29;0,49;1,67;2,85657137141714;66,5856
5,0;0,73;0,27;0,52;1,7;2,86705423736629;67,56839999999998
5,0;0,75;0,25;0,55;1,73;2,8774989139876315;68,55839999999999
5,0;0,77;0,23;0,43;1,61;2,835489375751565;64,64159999999998
5,0;0,79;0,21;0,44;1,62;2,839013913315678;64,96360000000001
5,0;0,81;0,19;0,34;1,52;2,8035691537752374;61,779600000000016
5,0;0,83;0,17;0,35;1,53;2,80713376952364;62,0944
5,0;0,85;0,15;0,36;1,54;2,8106938645110393;62,410000000000004
5,0;0,87;0,13;0,22;1,4;2,760434748368452;58,064399999999985
5,0;0,89;0,11;0,23;1,41;2,764054992217051;58,369600000000005
5,0;0,91;0,09;0,1;1,28;2,716615541441225;54,4644
5,0;0,93;0,07;0,11;1,29;2,7202941017470885;54,760000000000005
5,0;0,95;0,05;0,12;1,3;2,723967694375247;55,0564
5,0;0,97;0,03;0,12;1,3;2,723967694375247;55,0564
5,0;0,99;0,01;0,12;1,3;2,723967694375247;55,0564
5,1;0,65;0,35;0,67;1,85;2,9359836511806394;74,30439999999999
5,1;0,67;0,33;0,67;1,85;2,9359836511806394;74,30439999999999
5,1;0,69;0,31;0,69;1,87;2,9427877939124323;74,9956
5,1;0,71;0,29;0,6;1,78;2,912043955712207;71,91039999999998
5,1;0,73;0,27;0,61;1,79;2,9154759474226504;72,25
5,1;0,75;0,25;0,64;1,82;2,9257477676655586;73,27359999999997
5,1;0,77;0,23;0,54;1,72;2,891366458960192;69,88959999999999
5,1;0,79;0,21;0,55;1,73;2,8948229652260253;70,22439999999999
5,1;0,81;0,19;0,44;1,62;2,85657137141714;66,5856
5,1;0,83;0,17;0,45;1,63;2,8600699292150185;66,91239999999999
5,1;0,85;0,15;0,49;1,67;2,874021572639983;68,2276
5,1;0,87;0,13;0,34;1,52;2,8213471959331766;63,36159999999999
5,1;0,89;0,11;0,35;1,53;2,824889378365107;63,68039999999999
5,1;0,91;0,09;0,21;1,39;2,7748873851023212;59,28999999999999
5,1;0,93;0,07;0,22;1,4;2,7784887978899606;59,598399999999984
5,1;0,95;0,05;0,25;1,43;2,7892651361962706;60,52839999999999
5,1;0,97;0,03;0,25;1,43;2,7892651361962706;60,52839999999999
5,1;0,99;0,01;0,25;1,43;2,7892651361962706;60,52839999999999
